DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
03M452,P.S. 452,M452,M,438791.00,427044.00,486809.00,364542.00,49.00,0.13,48.00,0.13,60.00,0.16,11.00,0.03,208.00,0.55,0.45,67.00,0.18,17.00,0.05,115.00,0.31,0.28,376.00,1135.76
02M150,P.S. 150,M150,M,377010.00,204576.00,255827.00,325759.00,39.00,0.21,1.00,0.01,18.00,0.10,17.00,0.09,114.00,0.60,0.40,21.00,0.11,4.00,0.02,33.00,0.18,0.14,189.00,1082.41
28Q101,P.S. 101 School in the Gardens,Q101,Q,210553.70,717032.95,515426.00,201606.95,199.00,0.30,20.00,0.03,119.00,0.18,56.00,0.08,278.00,0.41,0.59,96.00,0.14,27.00,0.04,97.00,0.14,0.13,672.00,1067.01
02M234,P.S. 234 Independence School,M234,M,375489.73,660795.01,647614.29,388670.45,56.00,0.09,11.00,0.02,56.00,0.09,55.00,0.09,460.00,0.72,0.28,103.00,0.16,8.00,0.01,66.00,0.10,0.08,638.00,1035.73
02M183,P.S. 183 Robert L. Stevenson,M183,M,227436.00,558046.28,551132.32,6906.96,88.00,0.16,15.00,0.03,47.00,0.09,33.00,0.06,371.00,0.67,0.33,88.00,0.16,34.00,0.06,66.00,0.12,0.06,554.00,1007.30
15K010,"Magnet School of Math, Science and Design Technology",K010,K,568903.65,943960.31,962541.67,550322.29,83.00,0.09,81.00,0.09,257.00,0.27,57.00,0.06,473.00,0.50,0.50,186.00,0.20,44.00,0.05,203.00,0.21,0.30,951.00,992.60
20K686,Brooklyn School of Inquiry,K686,K,196044.77,506740.18,161346.88,541438.07,109.00,0.20,27.00,0.05,25.00,0.05,16.00,0.03,357.00,0.67,0.33,45.00,0.08,55.00,0.10,141.00,0.26,0.26,534.00,948.95
02M267,"East Side Elementary School, PS 267",M267,M,362424.00,392719.00,342406.00,412737.00,52.00,0.13,4.00,0.01,43.00,0.10,12.00,0.03,303.00,0.73,0.27,57.00,0.14,19.00,0.05,52.00,0.13,0.08,414.00,948.60
02M343,The Peck Slip School,M343,M,221294.21,423874.81,541179.42,103989.60,74.00,0.16,19.00,0.04,60.00,0.13,66.00,0.14,249.00,0.53,0.47,85.00,0.18,8.00,0.02,60.00,0.13,0.10,468.00,905.72
02M527,P.S. 527 - East Side School for Social Action,M527,M,96113.67,388063.06,419270.56,64906.17,54.00,0.13,17.00,0.04,61.00,0.14,49.00,0.11,250.00,0.58,0.42,70.00,0.16,17.00,0.04,73.00,0.17,0.18,431.00,900.38
02M340,Sixth Avenue Elementary School,M340,M,78455.00,300469.00,228047.00,150876.00,29.00,0.09,8.00,0.02,39.00,0.12,50.00,0.15,213.00,0.63,0.37,64.00,0.19,4.00,0.01,27.00,0.08,0.12,339.00,886.34
03M199,P.S. 199 Jessie Isador Straus,M199,M,712248.93,705415.81,791450.08,626214.66,132.00,0.16,37.00,0.05,76.00,0.09,61.00,0.07,516.00,0.63,0.37,141.00,0.17,22.00,0.03,113.00,0.14,0.12,822.00,858.17
15K038,P.S. 038 The Pacific,K038,K,75505.81,518097.19,533592.81,60010.29,100.00,0.16,187.00,0.31,139.00,0.23,49.00,0.08,138.00,0.23,0.78,77.00,0.13,27.00,0.04,293.00,0.48,0.50,613.00,845.18
15K321,P.S. 321 William Penn,K321,K,205045.39,1166809.10,1209366.71,162487.78,83.00,0.06,38.00,0.03,85.00,0.06,116.00,0.08,1059.00,0.77,0.23,182.00,0.13,30.00,0.02,119.00,0.09,0.07,1381.00,844.90
01M539,"New Explorations into Science, Technology and Math High School",M539,M,542257.00,1479000.00,1302000.00,719257.00,584.00,0.33,118.00,0.07,199.00,0.11,156.00,0.09,697.00,0.40,0.60,161.00,0.09,28.00,0.02,412.00,0.24,0.26,1754.00,843.22
