DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
31R047,CSI High School for International Studies,R047,R,4066.00,29855.47,31665.36,2256.11,83.00,0.17,36.00,0.07,97.00,0.20,11.00,0.02,269.00,0.54,0.46,74.00,0.15,0.00,0.00,237.00,0.48,0.36,496.00,60.19
10X051,The Bronx STEM and Arts Academy,X051,X,2299.69,12338.84,10586.68,1752.12,4.00,0.02,64.00,0.31,133.00,0.65,1.00,0.01,3.00,0.02,0.99,32.00,0.16,8.00,0.04,176.00,0.86,0.85,205.00,60.19
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,Q242,Q,4432.00,23832.00,18800.00,2632.00,305.00,0.77,15.00,0.04,58.00,0.15,5.00,0.01,14.00,0.04,0.97,57.00,0.14,129.00,0.33,263.00,0.66,0.59,397.00,60.03
04M206,P.S. 206 Jose Celso Barbosa,M206,M,17661.00,28582.73,39433.92,6809.81,9.00,0.02,117.00,0.25,321.00,0.67,10.00,0.02,20.00,0.04,0.96,208.00,0.44,71.00,0.15,380.00,0.80,0.87,477.00,59.92
06M463,High School for Media and Communications,M463,M,0.00,23600.00,22575.33,1024.67,3.00,0.01,39.00,0.10,346.00,0.87,3.00,0.01,5.00,0.01,0.99,69.00,0.17,197.00,0.50,378.00,0.96,0.92,396.00,59.60
21K095,P.S. 095 The Gravesend,K095,K,3342.69,58471.83,54345.35,4126.48,360.00,0.37,73.00,0.07,325.00,0.33,5.00,0.01,219.00,0.22,0.78,171.00,0.17,134.00,0.14,690.00,0.70,0.77,982.00,59.54
03M185,The Locke School of Arts and Engineering,M185,M,4137.94,21548.73,16318.08,5230.65,8.00,0.02,197.00,0.54,118.00,0.32,9.00,0.03,32.00,0.09,0.91,80.00,0.22,19.00,0.05,301.00,0.83,0.82,364.00,59.20
20K163,P.S. 163 Bath Beach,K163,K,13540.54,35406.99,25619.71,9787.28,168.00,0.28,11.00,0.02,222.00,0.37,3.00,0.01,195.00,0.33,0.67,112.00,0.19,127.00,0.21,496.00,0.83,0.73,599.00,59.11
20K259,J.H.S. 259 William McKinley,K259,K,20323.06,110553.89,125316.71,5560.24,856.00,0.45,13.00,0.01,369.00,0.20,21.00,0.01,631.00,0.33,0.67,229.00,0.12,224.00,0.12,1494.00,0.79,0.72,1890.00,58.49
01M063,The STAR Academy - P.S.63,M063,M,11919.01,13400.62,12569.66,12749.97,4.00,0.02,45.00,0.20,150.00,0.65,9.00,0.04,22.00,0.10,0.90,73.00,0.32,4.00,0.02,176.00,0.77,0.73,230.00,58.26
08X376,Antonia Pantoja Preparatory Academy: A College Board School,X376,X,3180.85,25984.29,25069.37,914.92,23.00,0.05,75.00,0.17,333.00,0.75,9.00,0.02,6.00,0.01,0.99,127.00,0.29,64.00,0.14,370.00,0.83,0.88,446.00,58.26
14K257,P.S. 257 John F. Hylan,K257,K,18116.31,34916.31,15876.14,19040.17,4.00,0.01,127.00,0.21,460.00,0.77,3.00,0.01,7.00,0.01,0.99,157.00,0.26,79.00,0.13,496.00,0.83,0.89,601.00,58.10
25Q163,P.S. 163 Flushing Heights,Q163,Q,13586.62,46324.90,29090.58,17234.32,661.00,0.81,8.00,0.01,124.00,0.15,11.00,0.01,9.00,0.01,0.99,110.00,0.14,320.00,0.39,650.00,0.80,0.67,813.00,56.98
30Q148,P.S. 148 Queens,Q148,Q,3511.42,45720.53,42486.89,3233.64,118.00,0.15,7.00,0.01,655.00,0.82,2.00,0.00,22.00,0.03,0.97,147.00,0.18,245.00,0.31,600.00,0.75,0.79,804.00,56.87
08X100,P.S. 100 Isaac Clason,X100,X,4841.23,31766.08,27123.17,4642.91,4.00,0.01,147.00,0.26,385.00,0.69,15.00,0.03,8.00,0.01,0.99,163.00,0.29,45.00,0.08,468.00,0.84,0.92,559.00,56.83
22K535,Leon M. Goldstein High School for the Sciences,K535,K,33969.01,59933.67,68427.89,25474.79,303.00,0.29,72.00,0.07,94.00,0.09,13.00,0.01,575.00,0.54,0.46,176.00,0.17,5.00,0.01,480.00,0.45,0.43,1057.00,56.70
29Q251,P.S. 251 Queens,Q251,Q,5889.83,19818.50,20150.97,332.47,21.00,0.06,277.00,0.79,39.00,0.11,11.00,0.03,3.00,0.01,0.99,76.00,0.22,6.00,0.02,250.00,0.71,0.57,351.00,56.46
14K018,P.S. 018 Edward Bush,K018,K,1203.40,10905.66,7236.30,3669.36,1.00,0.01,41.00,0.21,132.00,0.68,2.00,0.01,18.00,0.09,0.91,69.00,0.36,26.00,0.13,160.00,0.83,0.85,194.00,56.21
14K017,P.S. 017 Henry D. Woodworth,K017,K,336.87,16613.94,15645.32,968.62,3.00,0.01,14.00,0.05,246.00,0.83,2.00,0.01,32.00,0.11,0.89,104.00,0.35,59.00,0.20,204.00,0.69,0.75,297.00,55.94
23K327,P.S. 327 Dr. Rose B. English,K327,K,1000.00,16245.00,8440.00,7805.00,6.00,0.02,189.00,0.65,78.00,0.27,13.00,0.05,6.00,0.02,0.98,77.00,0.26,20.00,0.07,282.00,0.97,0.93,292.00,55.63
26Q067,J.H.S. 067 Louis Pasteur,Q067,Q,17811.54,51597.51,43261.17,26147.88,589.00,0.62,34.00,0.04,124.00,0.13,18.00,0.02,186.00,0.20,0.80,89.00,0.09,38.00,0.04,405.00,0.43,0.30,951.00,54.26
27Q100,P.S. 100 Glen Morris,Q100,Q,8765.01,52191.41,49733.11,1456.30,306.00,0.32,61.00,0.06,199.00,0.21,361.00,0.37,37.00,0.04,0.96,170.00,0.18,80.00,0.08,568.00,0.59,0.64,964.00,54.14
30Q122,P.S. 122 Mamie Fay,Q122,Q,8707.94,73010.40,66966.89,14751.45,361.00,0.26,52.00,0.04,263.00,0.19,65.00,0.05,625.00,0.46,0.54,113.00,0.08,101.00,0.07,651.00,0.48,0.47,1366.00,53.45
18K219,P.S. 219 Kennedy-King,K219,K,3254.51,22805.66,24166.57,0.00,6.00,0.01,360.00,0.84,46.00,0.11,6.00,0.01,9.00,0.02,0.98,105.00,0.25,49.00,0.12,336.00,0.79,0.85,427.00,53.41
24Q229,P.S. 229 Emanuel Kaplan,Q229,Q,12081.29,75858.81,72185.90,3674.91,520.00,0.37,29.00,0.02,583.00,0.41,9.00,0.01,280.00,0.20,0.80,277.00,0.20,110.00,0.08,991.00,0.70,0.54,1421.00,53.38
27Q155,P.S. 155,Q155,Q,6677.71,28553.11,21056.58,7496.53,159.00,0.30,116.00,0.22,113.00,0.21,140.00,0.26,7.00,0.01,0.99,78.00,0.15,29.00,0.05,473.00,0.88,0.62,535.00,53.37
03M256,Lafayette Academy,M256,M,0.00,8150.94,791.00,7359.94,1.00,0.01,74.00,0.48,54.00,0.35,5.00,0.03,19.00,0.12,0.88,31.00,0.20,19.00,0.12,111.00,0.73,0.73,153.00,53.27
31R027,I.S. 027 Anning S. Prall,R027,R,5381.77,54455.27,31457.30,22997.97,111.00,0.11,225.00,0.22,414.00,0.40,19.00,0.02,267.00,0.26,0.74,264.00,0.26,51.00,0.05,761.00,0.74,0.66,1036.00,52.56
24Q068,P.S. 068 Cambridge,Q068,Q,6681.53,31312.23,26746.70,11247.06,19.00,0.03,10.00,0.02,522.00,0.87,3.00,0.01,43.00,0.07,0.93,121.00,0.20,80.00,0.13,389.00,0.65,0.71,597.00,52.45
08X182,P.S. 182,X182,X,686.61,39655.20,40043.69,298.12,46.00,0.06,170.00,0.22,501.00,0.66,8.00,0.01,38.00,0.05,0.95,143.00,0.19,59.00,0.08,662.00,0.87,0.83,763.00,51.97
14K297,P.S. 297 Abraham Stockton,K297,K,328.00,10529.00,10201.00,328.00,3.00,0.02,76.00,0.37,117.00,0.57,6.00,0.03,2.00,0.01,0.99,45.00,0.22,27.00,0.13,177.00,0.87,0.94,204.00,51.61
26Q178,P.S./ IS 178 Holliswood,Q178,Q,16978.63,28282.86,27347.17,17914.32,65.00,0.12,39.00,0.07,52.00,0.10,13.00,0.02,379.00,0.69,0.31,82.00,0.15,37.00,0.07,202.00,0.37,0.32,548.00,51.61
22K217,P.S. 217 Colonel David Marcus School,K217,K,20665.41,58699.16,59259.96,20104.61,611.00,0.54,98.00,0.09,187.00,0.16,37.00,0.03,208.00,0.18,0.82,150.00,0.13,287.00,0.25,870.00,0.76,0.79,1141.00,51.45
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,M210,M,4280.45,21862.44,17505.93,4356.51,1.00,0.00,6.00,0.01,417.00,0.98,1.00,0.00,0.00,0.00,1.00,94.00,0.22,163.00,0.38,394.00,0.93,0.88,425.00,51.44
04M964,Central Park East II,M964,M,85559.00,24742.00,16093.00,94208.00,26.00,0.05,154.00,0.32,197.00,0.41,35.00,0.07,71.00,0.15,0.85,123.00,0.26,15.00,0.03,248.00,0.51,0.64,483.00,51.23
28Q175,P.S. 175 The Lynn Gross Discovery School,Q175,Q,14145.46,41581.07,44025.15,11701.38,181.00,0.22,9.00,0.01,108.00,0.13,24.00,0.03,491.00,0.60,0.40,128.00,0.16,73.00,0.09,455.00,0.56,0.46,813.00,51.15
10X081,P.S. 081 Robert J. Christen,X081,X,39655.91,38055.38,43570.58,34140.61,52.00,0.07,69.00,0.09,394.00,0.53,27.00,0.04,204.00,0.27,0.73,137.00,0.18,60.00,0.08,329.00,0.44,0.39,746.00,51.01
24Q153,P.S. 153 Maspeth Elem,Q153,Q,12460.56,57373.61,46652.06,10721.55,119.00,0.11,9.00,0.01,510.00,0.45,17.00,0.02,471.00,0.42,0.58,203.00,0.18,111.00,0.10,724.00,0.64,0.54,1126.00,50.95
02M414,N.Y.C. Museum School,M414,M,2510.69,22840.84,9477.95,13362.89,108.00,0.24,58.00,0.13,160.00,0.36,27.00,0.06,96.00,0.21,0.79,91.00,0.20,4.00,0.01,252.00,0.56,0.55,449.00,50.87
02M422,Quest to Learn,M422,M,26640.00,27630.02,27088.21,10541.81,71.00,0.13,118.00,0.22,235.00,0.43,20.00,0.04,101.00,0.19,0.82,152.00,0.28,21.00,0.04,393.00,0.72,0.66,545.00,50.70
30Q076,P.S. 076 William Hallet,Q076,Q,10406.16,22460.12,12974.64,19891.64,34.00,0.08,131.00,0.29,229.00,0.51,9.00,0.02,43.00,0.10,0.90,148.00,0.33,61.00,0.14,353.00,0.79,0.86,446.00,50.36
23K599,Brooklyn Landmark Elementary School,K599,K,1834.23,19238.12,19364.40,127.28,9.00,0.02,289.00,0.75,83.00,0.22,2.00,0.01,3.00,0.01,0.99,64.00,0.17,11.00,0.03,294.00,0.76,0.80,386.00,49.84
14K132,P.S. 132 The Conselyea School,K132,K,69363.58,36799.30,45101.25,61061.63,49.00,0.07,105.00,0.14,244.00,0.32,23.00,0.03,334.00,0.44,0.56,98.00,0.13,50.00,0.07,289.00,0.38,0.50,755.00,48.74
24Q019,P.S. 019 Marino Jeantet,Q019,Q,15394.81,91859.72,81656.28,10203.44,95.00,0.05,8.00,0.00,1767.00,0.94,6.00,0.00,13.00,0.01,0.99,398.00,0.21,1049.00,0.56,1669.00,0.88,0.86,1889.00,48.63
02M124,P.S. 124 Yung Wing,M124,M,46206.20,32767.53,29628.09,49345.64,631.00,0.94,0.00,0.00,14.00,0.02,20.00,0.03,10.00,0.02,0.99,86.00,0.13,172.00,0.26,354.00,0.52,0.60,675.00,48.54
32K291,J.H.S. 291 Roland Hayes,K291,K,0.00,14011.00,14007.51,3.49,3.00,0.01,40.00,0.14,242.00,0.83,1.00,0.00,4.00,0.01,0.99,81.00,0.28,85.00,0.29,275.00,0.95,0.94,290.00,48.31
21K226,P.S. 226 Alfred De B. Mason,K226,K,8045.23,49359.14,45877.72,3481.42,313.00,0.31,15.00,0.02,306.00,0.30,13.00,0.01,375.00,0.37,0.63,170.00,0.17,268.00,0.26,827.00,0.81,0.76,1022.00,48.30
30Q002,P.S. 002 Alfred Zimberg,Q002,Q,5526.46,27000.29,25391.44,1608.85,115.00,0.20,23.00,0.04,204.00,0.36,8.00,0.01,214.00,0.38,0.62,107.00,0.19,92.00,0.16,408.00,0.72,0.61,564.00,47.87
22K203,P.S. 203 Floyd Bennett School,K203,K,10017.59,32280.56,28032.65,4247.91,59.00,0.09,496.00,0.74,73.00,0.11,22.00,0.03,25.00,0.04,0.96,148.00,0.22,60.00,0.09,444.00,0.66,0.65,675.00,47.82
11X483,The Matilda Avenue School,X483,X,1879.10,7734.00,9352.40,260.70,7.00,0.04,85.00,0.52,55.00,0.34,8.00,0.05,8.00,0.05,0.95,18.00,0.11,8.00,0.05,123.00,0.76,0.76,163.00,47.45
30Q085,P.S. 085 Judge Charles Vallone,Q085,Q,23775.00,29971.20,29708.47,24017.17,107.00,0.17,17.00,0.03,179.00,0.28,26.00,0.04,307.00,0.48,0.52,78.00,0.12,84.00,0.13,253.00,0.40,0.46,636.00,47.12
04M146,P.S. 146 Ann M. Short,M146,M,348.61,17903.72,17456.00,447.72,18.00,0.05,86.00,0.23,268.00,0.70,2.00,0.01,9.00,0.02,0.98,151.00,0.39,67.00,0.18,373.00,0.97,0.94,383.00,46.75
22K278,J.H.S. 278 Marine Park,K278,K,6191.09,55881.32,58882.90,3189.51,129.00,0.11,480.00,0.40,211.00,0.18,27.00,0.02,356.00,0.30,0.70,212.00,0.18,49.00,0.04,836.00,0.70,0.51,1203.00,46.45
27Q051,P.S. 051,Q051,Q,5083.11,11376.20,10614.30,761.90,61.00,0.25,10.00,0.04,117.00,0.48,19.00,0.08,38.00,0.16,0.85,23.00,0.09,58.00,0.24,189.00,0.77,0.67,245.00,46.43
24Q049,P.S. 049 Dorothy Bonawit Kole,Q049,Q,6683.00,55680.38,46652.27,9028.11,234.00,0.19,13.00,0.01,285.00,0.24,21.00,0.02,651.00,0.54,0.46,192.00,0.16,79.00,0.07,611.00,0.51,0.35,1204.00,46.25
20K160,P.S. 160 William T. Sampson,K160,K,22565.72,58981.70,30139.22,28842.48,1127.00,0.88,5.00,0.00,91.00,0.07,3.00,0.00,50.00,0.04,0.96,166.00,0.13,779.00,0.61,1051.00,0.82,0.90,1276.00,46.22
02M630,Art and Design High School,M630,M,18051.06,67777.10,47101.72,20675.38,125.00,0.09,219.00,0.15,796.00,0.54,82.00,0.06,256.00,0.17,0.83,314.00,0.21,12.00,0.01,821.00,0.56,0.56,1478.00,45.86
15K442,M.S. 442 Carroll Gardens School for Innovation,K442,K,1668.09,13650.85,11685.74,3633.20,27.00,0.09,43.00,0.14,89.00,0.30,11.00,0.04,132.00,0.44,0.56,103.00,0.34,11.00,0.04,99.00,0.33,0.37,302.00,45.20
21K098,I.S. 98 Bay Academy,K098,K,28678.47,70306.35,53977.70,16328.65,441.00,0.28,40.00,0.03,136.00,0.09,46.00,0.03,898.00,0.58,0.43,143.00,0.09,27.00,0.02,803.00,0.51,0.49,1561.00,45.04
08X036,P.S. 036 Unionport,X036,X,1241.66,34293.66,33029.66,1264.00,202.00,0.26,69.00,0.09,448.00,0.59,19.00,0.03,26.00,0.03,0.97,142.00,0.19,98.00,0.13,551.00,0.72,0.81,764.00,44.89
15K094,P.S. 094 The Henry Longfellow,K094,K,508.38,57581.24,57403.65,177.59,894.00,0.70,3.00,0.00,362.00,0.28,4.00,0.00,20.00,0.02,0.98,107.00,0.08,626.00,0.49,1268.00,0.99,0.94,1283.00,44.88
27Q062,P. S. 62 - Chester Park School,Q062,Q,8661.46,40847.72,25985.59,14862.13,548.00,0.60,36.00,0.04,222.00,0.24,88.00,0.10,17.00,0.02,0.98,116.00,0.13,140.00,0.15,601.00,0.66,0.71,911.00,44.84
24Q071,P.S. 071 Forest,Q071,Q,0.00,31349.31,6615.39,24733.92,34.00,0.05,6.00,0.01,376.00,0.54,40.00,0.06,244.00,0.35,0.65,122.00,0.17,108.00,0.15,593.00,0.85,0.69,700.00,44.78
08X152,P.S. 152 Evergreen,X152,X,7108.86,36556.86,23004.00,13552.86,13.00,0.02,134.00,0.16,654.00,0.80,10.00,0.01,7.00,0.01,0.99,204.00,0.25,225.00,0.28,735.00,0.90,0.95,818.00,44.69
15K443,New Voices School of Academic & Creative Arts,K443,K,70441.00,25903.00,22836.00,73508.00,37.00,0.06,43.00,0.07,170.00,0.29,24.00,0.04,306.00,0.53,0.47,128.00,0.22,10.00,0.02,165.00,0.28,0.32,580.00,44.66
16K026,P.S. 026 Jesse Owens,K026,K,130.00,11550.00,13276.03,916.57,6.00,0.02,174.00,0.67,61.00,0.24,3.00,0.01,15.00,0.06,0.94,49.00,0.19,10.00,0.04,186.00,0.72,0.78,259.00,44.59
31R861,Staten Island School of Civic Leadership,R861,R,322.65,40388.16,39338.51,1049.65,124.00,0.14,183.00,0.20,378.00,0.42,41.00,0.05,180.00,0.20,0.80,216.00,0.24,36.00,0.04,649.00,0.72,0.61,906.00,44.58
18K115,P.S. 115 Daniel Mucatel School,K115,K,4766.02,40106.83,37215.17,2891.66,28.00,0.03,735.00,0.82,76.00,0.08,14.00,0.02,49.00,0.05,0.95,160.00,0.18,72.00,0.08,554.00,0.61,0.64,902.00,44.46
21K100,P.S. 100 The Coney Island School,K100,K,1378.84,36536.17,32275.83,4260.34,31.00,0.04,24.00,0.03,46.00,0.06,10.00,0.01,711.00,0.87,0.14,137.00,0.17,165.00,0.20,400.00,0.49,0.46,822.00,44.45
26Q031,P.S. 031 Bayside,Q031,Q,14867.86,23863.97,27284.83,11447.00,301.00,0.56,42.00,0.08,109.00,0.20,12.00,0.02,75.00,0.14,0.86,97.00,0.18,60.00,0.11,313.00,0.58,0.44,539.00,44.27
02M001,P.S. 001 Alfred E. Smith,M001,M,29137.34,13018.43,2661.44,39494.33,147.00,0.50,53.00,0.18,84.00,0.29,4.00,0.01,7.00,0.02,0.98,81.00,0.28,56.00,0.19,223.00,0.76,0.81,295.00,44.13
25Q200,P.S./M.S. 200 - The Magnet School of Global Studies and Leadership,Q200,Q,4485.53,23690.97,17921.47,5769.50,75.00,0.14,108.00,0.20,272.00,0.50,15.00,0.03,71.00,0.13,0.87,98.00,0.18,23.00,0.04,390.00,0.72,0.50,541.00,43.79
20K069,P.S. 69 Vincent D. Grippo School,K069,K,10346.53,33661.03,18244.41,15416.62,706.00,0.92,2.00,0.00,30.00,0.04,2.00,0.00,30.00,0.04,0.96,81.00,0.11,378.00,0.49,745.00,0.97,0.90,770.00,43.72
75R373,P.S. R373,R373,R,4028.22,24800.82,20973.09,3827.73,60.00,0.11,134.00,0.24,169.00,0.30,23.00,0.04,182.00,0.32,0.68,568.00,1.00,78.00,0.14,452.00,0.80,0.82,568.00,43.66
25Q024,P.S. 024 Andrew Jackson,Q024,Q,21426.49,45269.34,26821.16,18447.18,886.00,0.85,19.00,0.02,113.00,0.11,13.00,0.01,15.00,0.01,0.99,120.00,0.12,392.00,0.38,689.00,0.66,0.69,1046.00,43.28
18K208,P.S. 208 Elsa Ebeling,K208,K,3764.61,15373.86,12205.46,3168.40,7.00,0.02,323.00,0.90,20.00,0.06,3.00,0.01,6.00,0.02,0.98,95.00,0.27,11.00,0.03,313.00,0.87,0.73,359.00,42.82
31R011,P.S. 11 Thomas Dongan School,R011,R,2389.80,13222.97,10034.38,3188.59,30.00,0.10,53.00,0.17,123.00,0.40,5.00,0.02,98.00,0.32,0.68,71.00,0.23,39.00,0.13,241.00,0.78,0.68,309.00,42.79
32K383,J.H.S. 383 Philippa Schuyler,K383,K,144.07,38274.39,37274.39,1000.00,42.00,0.05,314.00,0.35,521.00,0.57,13.00,0.01,19.00,0.02,0.98,155.00,0.17,53.00,0.06,743.00,0.82,0.74,909.00,42.11
26Q133,P.S. 133 Queens,Q133,Q,2825.00,24367.26,27006.22,186.04,373.00,0.64,36.00,0.06,98.00,0.17,21.00,0.04,56.00,0.10,0.90,91.00,0.16,42.00,0.07,336.00,0.58,0.41,584.00,41.72
24Q058,P.S. 58 - The School of Heroes,Q058,Q,9865.39,42701.83,37152.90,5548.93,411.00,0.40,6.00,0.01,407.00,0.40,14.00,0.01,186.00,0.18,0.82,144.00,0.14,126.00,0.12,749.00,0.73,0.57,1024.00,41.70
08X130,P.S. 130 Abram Stevens Hewitt,X130,X,0.00,18030.09,17204.81,825.28,4.00,0.01,101.00,0.23,316.00,0.73,2.00,0.01,10.00,0.02,0.98,123.00,0.28,82.00,0.19,382.00,0.88,0.93,433.00,41.64
31R051,I.S. 051 Edwin Markham,R051,R,16451.30,55459.70,44079.98,11379.72,66.00,0.05,301.00,0.23,644.00,0.48,22.00,0.02,302.00,0.23,0.77,404.00,0.30,101.00,0.08,1041.00,0.78,0.72,1335.00,41.54
31R024,I.S. 024 Myra S. Barnes,R024,R,2680.53,54465.65,51664.09,2801.56,82.00,0.06,22.00,0.02,210.00,0.16,22.00,0.02,981.00,0.75,0.26,339.00,0.26,30.00,0.02,587.00,0.45,0.34,1317.00,41.36
14K577,Conselyea Preparatory School,K577,K,9318.08,19892.34,10548.19,9344.15,12.00,0.03,27.00,0.06,271.00,0.56,2.00,0.00,176.00,0.36,0.64,93.00,0.19,21.00,0.04,241.00,0.49,0.57,488.00,40.76
75Q255,P.S. Q255,Q255,Q,2122.09,17087.69,14369.67,2718.02,84.00,0.20,43.00,0.10,162.00,0.39,9.00,0.02,122.00,0.29,0.71,420.00,1.00,176.00,0.42,328.00,0.78,0.82,420.00,40.68
04M083,P.S. 083 Luis Munoz Rivera,M083,M,760.02,16826.80,16460.14,366.66,41.00,0.10,77.00,0.19,285.00,0.69,2.00,0.01,9.00,0.02,0.98,94.00,0.23,38.00,0.09,359.00,0.87,0.80,414.00,40.64
10X003,P.S. 3 Raul Julia Micro Society,X003,X,452.17,13005.90,12477.41,528.49,0.00,0.00,91.00,0.28,229.00,0.71,0.00,0.00,1.00,0.00,1.00,68.00,0.21,48.00,0.15,313.00,0.98,0.91,321.00,40.52
26Q158,M.S. 158 Marie Curie,Q158,Q,16876.57,43635.61,52302.50,8209.68,686.00,0.64,45.00,0.04,163.00,0.15,26.00,0.02,158.00,0.15,0.85,138.00,0.13,72.00,0.07,593.00,0.55,0.40,1078.00,40.48
24Q081,P.S. 81Q Jean Paul Richter,Q081,Q,3988.86,25926.34,22776.91,3149.43,34.00,0.05,12.00,0.02,544.00,0.85,4.00,0.01,49.00,0.08,0.92,174.00,0.27,171.00,0.27,511.00,0.80,0.84,643.00,40.32
31R002,I.S. R002 George L. Egbert,R002,R,10856.00,42822.00,33779.00,9043.00,151.00,0.14,105.00,0.10,319.00,0.30,19.00,0.02,470.00,0.44,0.56,251.00,0.24,101.00,0.10,736.00,0.69,0.62,1064.00,40.25
02M531,Repertory Company High School for Theatre Arts,M531,M,1031.31,9359.35,7990.17,6947.41,2.00,0.01,68.00,0.29,107.00,0.45,26.00,0.11,34.00,0.14,0.86,40.00,0.17,1.00,0.00,160.00,0.68,0.54,237.00,39.49
14K449,"Brooklyn Latin School, The",K449,K,4168.78,27493.00,23525.00,8138.00,384.00,0.55,85.00,0.12,83.00,0.12,55.00,0.08,91.00,0.13,0.87,16.00,0.02,0.00,0.00,417.00,0.60,0.54,698.00,39.39
22K109,P.S. 109,K109,K,8715.80,22754.00,20404.59,11065.21,11.00,0.02,457.00,0.79,89.00,0.15,10.00,0.02,15.00,0.03,0.97,159.00,0.27,31.00,0.05,489.00,0.84,0.71,582.00,39.10
20K112,P.S. 112 Lefferts Park,K112,K,25276.92,26538.50,34880.36,16935.06,254.00,0.37,3.00,0.00,251.00,0.37,2.00,0.00,175.00,0.26,0.75,124.00,0.18,153.00,0.22,465.00,0.68,0.73,685.00,38.74
24Q102,P.S. 102 Bayview,Q102,Q,1933.27,49882.27,47392.10,2490.17,792.00,0.61,40.00,0.03,415.00,0.32,17.00,0.01,39.00,0.03,0.97,172.00,0.13,173.00,0.13,1088.00,0.84,0.67,1303.00,38.28
15K516,Sunset Park Avenues Elementary School,K516,K,9264.84,19034.84,20584.38,7714.94,72.00,0.14,2.00,0.00,391.00,0.78,0.00,0.00,35.00,0.07,0.93,110.00,0.22,169.00,0.34,423.00,0.85,0.81,500.00,38.07
07X161,P.S. 161 Juan Ponce De Leon School,X161,X,8111.43,18386.60,4809.64,13576.96,2.00,0.00,97.00,0.20,371.00,0.77,6.00,0.01,9.00,0.02,0.98,126.00,0.26,67.00,0.14,473.00,0.98,0.94,485.00,37.91
25Q201,P.S. 201 The Discovery School for Inquiry and Research,Q201,Q,8753.10,17721.67,16979.70,9495.07,78.00,0.17,182.00,0.38,188.00,0.40,13.00,0.03,13.00,0.03,0.97,112.00,0.24,41.00,0.09,338.00,0.71,0.75,474.00,37.39
29Q176,P.S. 176 Cambria Heights,Q176,Q,187.41,28187.41,25450.00,2737.41,26.00,0.03,571.00,0.75,37.00,0.05,116.00,0.15,7.00,0.01,0.99,84.00,0.11,6.00,0.01,492.00,0.65,0.37,757.00,37.24
27Q316,Queens Explorers Elementary School,Q316,Q,3235.59,14839.09,14401.73,454.65,113.00,0.28,28.00,0.07,189.00,0.47,24.00,0.06,47.00,0.12,0.88,55.00,0.14,17.00,0.04,305.00,0.76,0.58,401.00,37.01
21K209,P.S. 209 Margaret Mead,K209,K,7781.67,25905.09,13893.20,12011.89,217.00,0.31,21.00,0.03,177.00,0.25,13.00,0.02,278.00,0.39,0.61,188.00,0.27,145.00,0.21,516.00,0.73,0.68,706.00,36.69
27Q056,P.S. 056 Harry Eichler,Q056,Q,1810.85,12955.76,9107.59,3848.17,129.00,0.36,13.00,0.04,156.00,0.44,15.00,0.04,45.00,0.13,0.87,66.00,0.18,92.00,0.26,281.00,0.79,0.68,358.00,36.19
25Q219,P.S. 219 Paul Klapper,Q219,Q,1143.47,22605.07,22422.78,182.29,309.00,0.49,43.00,0.07,183.00,0.29,6.00,0.01,84.00,0.13,0.87,190.00,0.30,98.00,0.16,446.00,0.71,0.58,625.00,36.17
22K206,P.S. 206 Joseph F Lamb,K206,K,2000.00,54541.23,51145.97,9481.71,710.00,0.47,25.00,0.02,154.00,0.10,25.00,0.02,604.00,0.40,0.60,178.00,0.12,361.00,0.24,1054.00,0.69,0.60,1518.00,35.93
24Q125,I.S. 125 Thom J. McCann Woodside,Q125,Q,7448.87,54203.72,53673.23,7979.36,588.00,0.39,29.00,0.02,803.00,0.53,10.00,0.01,79.00,0.05,0.95,250.00,0.17,251.00,0.17,1113.00,0.74,0.77,1509.00,35.92
24Q143,P.S. 143 Louis Armstrong,Q143,Q,2026.96,48217.65,36289.52,11928.13,53.00,0.04,12.00,0.01,1261.00,0.94,7.00,0.01,13.00,0.01,0.99,308.00,0.23,777.00,0.58,1268.00,0.94,0.89,1346.00,35.82
19K108,P.S. 108 Sal Abbracciamento,K108,K,14574.90,33439.90,21328.50,12210.40,55.00,0.06,88.00,0.09,757.00,0.81,26.00,0.03,8.00,0.01,0.99,217.00,0.23,98.00,0.11,741.00,0.79,0.83,934.00,35.80
22K134,P.S. K134,K134,K,11038.99,20782.09,10857.15,9924.94,273.00,0.47,21.00,0.04,48.00,0.08,10.00,0.02,235.00,0.40,0.60,78.00,0.13,101.00,0.17,519.00,0.88,0.84,587.00,35.40
06M189,P.S. 189,M189,M,1536.21,26266.96,25042.92,1224.04,4.00,0.01,10.00,0.01,704.00,0.95,0.00,0.00,25.00,0.03,0.97,148.00,0.20,182.00,0.25,689.00,0.93,0.88,743.00,35.35
22K193,P.S. 193 Gil Hodges,K193,K,110.00,24341.69,22610.34,1185.31,118.00,0.17,293.00,0.42,98.00,0.14,53.00,0.08,141.00,0.20,0.80,145.00,0.21,133.00,0.19,505.00,0.72,0.64,703.00,34.63
