Timestamp,Age,Gender,What type of phone do you use? (ie. iPhone 11 or Samsung Galaxy S22 Ultra),"How many photos do you have on your phone? (For iPhones, open the Photos app, then go to Albums, then you find the photo count under the Recents album) ","How many of those are screenshots? (For iPhones, open the Photos app, then go to Albums, then scroll to Media Types and look at the number count beside Screenshots)","If you use a camera other than your phone to take photos, what kind is it?",Is your phone the main camera you use? ,Would you say you have practiced photography in this year? 
3/9/23 21:28,16,Female,iPhone 12,"5,000.00","1,300.00",Film camera,"Yes, majority of my photos are taken on my phone",No
3/10/23 9:05,16,Female,iPhone 12,"2,000.00",80,,"Yes, majority of my photos are taken on my phone",No
3/10/23 9:06,15,Male,iPhone 12,860,100,,"Yes, majority of my photos are taken on my phone",No
2/9/23 8:27,17,Female,iPhone 12 ,"10,659.00","2,778.00",Digital camera,"Yes, majority of my photos are taken on my phone",Yes
2/7/23 13:59,18,Male,iPhone 13,"2,300.00",358,,"Yes, majority of my photos are taken on my phone",No
2/7/23 14:08,17,Male,iPhone 13,"3,400.00",828,,"Yes, majority of my photos are taken on my phone",No
2/7/23 14:24,17,Male,iPhone 13,"6,890.00","3,580.00",Digital camera,"Yes, majority of my photos are taken on my phone",No
2/7/23 14:25,17,Female,iPhone 13,"12,031.00","2,326.00",,"Yes, majority of my photos are taken on my phone",No
2/7/23 15:13,18,Female,iPhone 13,"4,995.00",729,Film camera,"Yes, majority of my photos are taken on my phone",No
2/7/23 22:04,18,Male,iPhone 13,"2,416.00",608,,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:14,15,Female,iPhone 13,"2,000.00",430,,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:18,15,Male,iPhone 13,222,63,,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:25,15,Non-binary,iPhone 13,"9,075.00","1,926.00",,"Yes, majority of my photos are taken on my phone",No
3/9/23 21:35,16,Male,iPhone 13,"1,535.00",215,,"Yes, majority of my photos are taken on my phone",No
3/10/23 7:30,16,Male,iPhone 13,"1,646.00",313,Film camera,"Yes, majority of my photos are taken on my phone",Yes
3/10/23 9:05,15,Male,iPhone 13,"3,205.00",614,Digital camera,"Yes, majority of my photos are taken on my phone",No
2/8/23 12:41,18,Female,IPhone 13 ,"7,600.00",736,,"Yes, majority of my photos are taken on my phone",No
