Course Desc,T1Grd,T2Grd,T3Grd,T4Grd,Exam,FG,Gender,Grade,Department,CrsNo,Year,Level,Credit
Art and Technique of Film H,A,A-,A-,B+,,A-,M,12,ELA,1361,2022,H,5
Horror & SciFi Literature ACP,A-,A-,A-,A,,A-,M,12,ELA,1501,2022,ACP,5
Asian American Literature ACP,A,A,A,A,,A,M,12,ELA,1391,2022,ACP,5
Hiphop: LitCultureMusic ACP,B-,B-,C+,C-,,C+,M,12,ELA,1441,2022,ACP,5
Horror & SciFi Literature ACP,A-,A-,A-,A,,A-,M,12,ELA,1501,2022,ACP,5
The Short Story H,A-,A-,A-,A-,,A-,M,12,ELA,1341,2022,H,5
AP English 12,A,B+,B+,A-,,A-,F,12,ELA,1301,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,F,12,ELA,1311,2022,H,5
Diverse Persp Literature ACP,A,B+,A,A,,A-,F,12,ELA,1331,2022,ACP,5
Art and Technique of Film ACP,A,A,A,A,,A,F,12,ELA,1371,2022,ACP,5
Lit and Comp for College ACP,A,A,B+,A-,,A-,M,12,ELA,1421,2022,ACP,5
Art and Technique of Film H,A-,B+,A,A-,,A-,M,12,ELA,1361,2022,H,5
AP English 12,A-,A,A-,A,,A,F,12,ELA,1301,2022,H,5
Diverse Perspectives in Lit H,A,A,A,A,,A,F,12,ELA,1321,2022,H,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
Women in Literature and Society H,B+,B-,B-,D-,,C,F,12,ELA,1401,2022,H,5
The Short Story H,A-,A-,B+,A-,,A-,M,12,ELA,1341,2022,H,5
The Short Story H,A,A,A,B,,A,M,12,ELA,1341,2022,H,5
Art and Technique of Film H,A-,B,B,B,,B,M,12,ELA,1361,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,F,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic CP,B,C,C,C,,C,M,12,ELA,1451,2022,CP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
The Short Story ACP,A-,A-,B+,A-,,A-,F,12,ELA,1351,2022,ACP,5
The Short Story H,A,A-,A,B,,A-,M,12,ELA,1341,2022,H,5
AP English 12,A,B+,C+,B-,,B,F,12,ELA,1301,2022,H,5
Philosophy as Literature H,A,A-,B,B+,,A-,F,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic ACP,B-,B+,A-,B,,B,M,12,ELA,1441,2022,ACP,5
Philosophy as Literature H,A,A,A-,A-,,A,F,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic ACP,B-,C+,D+,D+,,C,M,12,ELA,1441,2022,ACP,5
The Short Story ACP,A,B-,C+,C,,B-,M,12,ELA,1351,2022,ACP,5
Lit and Comp for College ACP,A,A,A,A,,A,M,12,ELA,1421,2022,ACP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
The Short Story H,A-,A-,B+,A-,,A,M,12,ELA,1341,2022,H,5
Hiphop: LitCultureMusic ACP,A,A-,A-,A-,,A-,F,12,ELA,1441,2022,ACP,5
Hiphop: LitCultureMusic CP,C+,B,C,F,,C-,F,12,ELA,1451,2022,CP,5
Diverse Perspectives in Lit H,A,B+,A,A,,A,F,12,ELA,1321,2022,H,5
Diverse Persp Literature ACP,A,A,A,A,,A,M,12,ELA,1331,2022,ACP,5
Art and Technique of Film H,B+,A-,B-,D+,,B-,M,12,ELA,1361,2022,H,5
Asian American Literature ACP,B,B,D,C,,C,F,12,ELA,1391,2022,ACP,5
Hiphop: LitCultureMusic ACP,A-,A,C+,B-,,B,M,12,ELA,1441,2022,ACP,5
Horror & SciFi Literature ACP,A,A,A,A,,A,M,12,ELA,1501,2022,ACP,5
Hiphop: LitCultureMusic ACP,D-,D+,F,D-,,D-,F,12,ELA,1441,2022,ACP,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
Asian American Literature ACP,A,A,A,A,,A,F,12,ELA,1391,2022,ACP,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
Horror & SciFi Literature ACP,A-,B-,A,A,,A-,M,12,ELA,1501,2022,ACP,5
Diverse Persp Literature ACP,A,B,A,A,,A-,F,12,ELA,1331,2022,ACP,5
Philosophy as Literature H,B+,B,B+,B,,B+,M,12,ELA,1311,2022,H,5
Philosophy as Literature H,A-,A-,A-,A-,,A-,M,12,ELA,1311,2022,H,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
AP English 12,A-,B,B+,C-,,B,M,12,ELA,1301,2022,H,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
Creative  Writing,,,A,A-,,A,M,12,ELA,1611,2022,N,2.5
Diverse Perspectives in Lit H,A,B+,A-,A,,A,M,12,ELA,1321,2022,H,5
Philosophy as Literature H,A,A,A,A-,,A,M,12,ELA,1311,2022,H,5
Art and Technique of Film H,A,A,A,A,,A,M,12,ELA,1361,2022,H,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Horror & SciFi Literature CP,A-,A-,A-,A,,A-,M,12,ELA,1511,2022,CP,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
Art and Technique of Film H,A-,A,A,A,,A,F,12,ELA,1361,2022,H,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
Art and Technique of Film H,A,A,A-,A-,,A,M,12,ELA,1361,2022,H,5
Diverse Perspectives in Lit H,A,B,F,A-,,B-,F,12,ELA,1321,2022,H,5
Lit and Comp for College ACP,A,B,B,A,,A-,F,12,ELA,1421,2022,ACP,5
Horror & SciFi Literature ACP,B+,C+,A-,C+,,B-,M,12,ELA,1501,2022,ACP,5
Hiphop: LitCultureMusic ACP,B+,B,C,B,,B,M,12,ELA,1441,2022,ACP,5
Hiphop: LitCultureMusic CP,C,B-,B,B-,,B-,M,12,ELA,1451,2022,CP,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
Lit and Comp for College ACP,B-,B,B,B,,B,M,12,ELA,1421,2022,ACP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
Asian American Literature ACP,A,B,B+,A-,,B+,F,12,ELA,1391,2022,ACP,5
AP English 12,A,B+,A,B,,A-,F,12,ELA,1301,2022,H,5
AP English 12,A,A,A,A-,,A,F,12,ELA,1301,2022,H,5
Art and Technique of Film ACP,B+,B+,B-,D+,,B-,F,12,ELA,1371,2022,ACP,5
Art and Technique of Film ACP,B,B,C+,B,,B,F,12,ELA,1371,2022,ACP,5
Philosophy as Literature H,D+,F,F,B+,,P,F,12,ELA,1311,2022,H,5
Diverse Persp Literature ACP,A,B+,B+,A,,A-,F,12,ELA,1331,2022,ACP,5
Art and Technique of Film ACP,C,B+,C,B+,,B,F,12,ELA,1371,2022,ACP,5
AP English 12,A,A-,A,A,,A,F,12,ELA,1301,2022,H,5
Horror & SciFi Literature ACP,A-,A-,A,A,,A,M,12,ELA,1501,2022,ACP,5
Horror & SciFi Literature CP,B+,B,C+,A-,,B,M,12,ELA,1511,2022,CP,5
Art and Technique of Film ACP,A-,B-,B-,C+,,B,F,12,ELA,1371,2022,ACP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
AP English 12,B,B+,D,C-,,C,F,12,ELA,1301,2022,H,5
Philosophy as Literature H,B+,B+,B+,B+,,B+,M,12,ELA,1311,2022,H,5
Asian American Literature H,A,B,B-,B,,B,F,12,ELA,1381,2022,H,5
Art and Technique of Film H,B,B,B-,B-,,B,M,12,ELA,1361,2022,H,5
Asian American Literature H,A,A,A-,A,,A,F,12,ELA,1381,2022,H,5
Philosophy of Literature ACP,C+,D,C-,C-,,C-,M,12,ELA,13141,2022,ACP,5
Art and Technique of Film H,A,A,A,A,,A,F,12,ELA,1361,2022,H,5
Diverse Persp Literature ACP,A,A-,A,A,,A,M,12,ELA,1331,2022,ACP,5
Art and Technique of Film H,A,A,A,A-,,A,F,12,ELA,1361,2022,H,5
Philosophy as Literature H,A-,A,A,A-,,A-,F,12,ELA,1311,2022,H,5
Women in Literature and Society ACP,A,A,A,A,,A,F,12,ELA,1411,2022,ACP,5
Art and Technique of Film H,B,M,D,C,,C,M,12,ELA,1361,2022,H,5
Horror & SciFi Literature ACP,A,A-,B+,A,,A,F,12,ELA,1501,2022,ACP,5
Lit and Comp for College ACP,A,A-,C-,B,,B+,F,12,ELA,1421,2022,ACP,5
Creative  Writing,,,B-,C+,,C+,F,12,ELA,1611,2022,N,2.5
Journalism,,,B,C,,C+,F,12,ELA,1651,2022,N,2.5
English 12 CP,A,A,A,A,,A,F,12,ELA,1281,2022,CP,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
English 12 CP,A,A,A,A,,A,F,12,ELA,1281,2022,CP,5
Hiphop: LitCultureMusic ACP,B,A-,B,C,,B,M,12,ELA,1441,2022,ACP,5
Art and Technique of Film H,A,A,A,A,,A,F,12,ELA,1361,2022,H,5
Art and Technique of Film H,A,A,A,B+,,A,F,12,ELA,1361,2022,H,5
Philosophy as Literature H,A,A,A-,A,,A,M,12,ELA,1311,2022,H,5
Art and Technique of Film ACP,B+,B,B,A,,B+,M,12,ELA,1371,2022,ACP,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Diverse Perspectives in Lit H,A,A-,A,A,,A,M,12,ELA,1321,2022,H,5
Art and Technique of Film H,A,A,A,A,,A,F,12,ELA,1361,2022,H,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
Hiphop: LitCultureMusic ACP,B-,C,C,C+,,C+,M,12,ELA,1441,2022,ACP,5
AP English 12,A,A-,B+,B+,,A-,F,12,ELA,1301,2022,H,5
Art and Technique of Film H,B+,A,B+,A-,,A-,F,12,ELA,1361,2022,H,5
Art and Technique of Film H,A,A-,A,A,,A,F,12,ELA,1361,2022,H,5
Hiphop: LitCultureMusic ACP,B-,C+,C-,D,,C,F,12,ELA,1441,2022,ACP,5
AP English 12,A,A,B,B,,A-,F,12,ELA,1301,2022,H,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
Philosophy as Literature H,B+,B,B,B-,,B,M,12,ELA,1311,2022,H,5
Art and Technique of Film H,A,A,A-,A-,,A,M,12,ELA,1361,2022,H,5
The Short Story H,A-,B-,B-,C+,,B,F,12,ELA,1341,2022,H,5
The Short Story H,A-,A-,B-,B-,,B+,F,12,ELA,1341,2022,H,5
Art and Technique of Film H,B+,B+,A-,A,,A-,F,12,ELA,1361,2022,H,5
Lit and Comp for College CP,D-,F,F,F,,F,M,12,ELA,1431,2022,CP,5
Art and Technique of Film H,A,A,A,A,,A,M,12,ELA,1361,2022,H,5
Philosophy as Literature H,A-,B+,A-,A-,,A-,M,12,ELA,1311,2022,H,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
The Short Story H,A-,A,A-,B,,A-,F,12,ELA,1341,2022,H,5
Art and Technique of Film H,A,A,A,A,,A,M,12,ELA,1361,2022,H,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
Philosophy as Literature H,B+,B+,A-,C+,,B,F,12,ELA,1311,2022,H,5
Asian American Literature ACP,A,A,A,A,,A,M,12,ELA,1391,2022,ACP,5
The Short Story H,A,A-,A,A-,,A,M,12,ELA,1341,2022,H,5
The Short Story H,A,A,A,A,,A,M,12,ELA,1341,2022,H,5
Horror & SciFi Literature ACP,A,A-,A,A,,A-,M,12,ELA,1501,2022,ACP,5
Art and Technique of Film ACP,B+,A-,B+,B+,,B+,M,12,ELA,1371,2022,ACP,5
The Short Story H,A-,B,C,F,,C-,F,12,ELA,1341,2022,H,5
Lit and Comp for College CP,C-,F,B+,B-,,C-,M,12,ELA,1431,2022,CP,5
Art and Technique of Film ACP,A-,B+,B,A-,,B+,F,12,ELA,1371,2022,ACP,5
Philosophy of Literature ACP,B+,B,C,B+,,B,F,12,ELA,13141,2022,ACP,5
Art and Technique of Film H,A-,A-,A,A,,A,F,12,ELA,1361,2022,H,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
Diverse Perspectives in Lit H,A,A,A,A,,A,M,12,ELA,1321,2022,H,5
Hiphop: LitCultureMusic ACP,A-,A,A,A,,A,M,12,ELA,1441,2022,ACP,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
The Short Story H,A,A,A,A-,,A,M,12,ELA,1341,2022,H,5
Hiphop: LitCultureMusic ACP,B+,A,B,A-,,A-,F,12,ELA,1441,2022,ACP,5
Art and Technique of Film H,A,A,A,A-,,A,F,12,ELA,1361,2022,H,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
Art and Technique of Film H,B+,B+,B,A-,,B+,M,12,ELA,1361,2022,H,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
The Short Story H,A,A,A-,B+,,A,F,12,ELA,1341,2022,H,5
Art and Technique of Film ACP,B-,C-,C+,B+,,B-,F,12,ELA,1371,2022,ACP,5
Women in Literature and Society ACP,A,A,A-,A,,A,F,12,ELA,1411,2022,ACP,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
Hiphop: LitCultureMusic ACP,B+,B,C+,C,,B,M,12,ELA,1441,2022,ACP,5
The Short Story H,A,A,A,A,,A,M,12,ELA,1341,2022,H,5
Art and Technique of Film H,A-,A,A,A,,A,F,12,ELA,1361,2022,H,5
Horror & SciFi Literature ACP,A,A,A,A,,A,M,12,ELA,1501,2022,ACP,5
Horror & SciFi Literature ACP,A,A-,A,A,,A,F,12,ELA,1501,2022,ACP,5
Art and Technique of Film H,A,A-,B+,B+,,A-,F,12,ELA,1361,2022,H,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Art and Technique of Film ACP,A,A,A,A-,,A,F,12,ELA,1371,2022,ACP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
Art and Technique of Film H,A,A-,A-,A,,A,F,12,ELA,1361,2022,H,5
Hiphop: LitCultureMusic ACP,B,A-,B-,D,,B-,F,12,ELA,1441,2022,ACP,5
The Short Story H,A,A,A-,B+,,A,F,12,ELA,1341,2022,H,5
AP English 12,A,A-,A,A,,A,M,12,ELA,1301,2022,H,5
Philosophy as Literature H,B+,M,P,A,,B,F,12,ELA,1311,2022,H,5
AP English 12,B-,B-,B,D-,,C,F,12,ELA,1301,2022,H,5
Hiphop: LitCultureMusic ACP,A-,A,A,A-,,A,M,12,ELA,1441,2022,ACP,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
Hiphop: LitCultureMusic ACP,B-,B+,B,C,,B-,M,12,ELA,1441,2022,ACP,5
AP English 12,B+,B+,A-,B+,,B+,M,12,ELA,1301,2022,H,5
Lit and Comp for College ACP,A-,A,A,A,,A,M,12,ELA,1421,2022,ACP,5
Lit and Comp for College CP,B,B-,D,C-,,C,M,12,ELA,1431,2022,CP,5
Art and Technique of Film H,A,A,A,A,,A,M,12,ELA,1361,2022,H,5
Art and Technique of Film H,A,A,A,A,,A,M,12,ELA,1361,2022,H,5
Philosophy as Literature H,B,B,B+,A-,,B+,M,12,ELA,1311,2022,H,5
Horror & SciFi Literature ACP,B+,M,B-,A-,,B+,M,12,ELA,1501,2022,ACP,5
Hiphop: LitCultureMusic ACP,A,A-,A,A-,,A,M,12,ELA,1441,2022,ACP,5
Diverse Persp Literature ACP,A,A-,A,A,,A,M,12,ELA,1331,2022,ACP,5
AP English 12,A,A-,A,A,,A,F,12,ELA,1301,2022,H,5
Horror & SciFi Literature CP,B+,C-,B,B+,,B-,M,12,ELA,1511,2022,CP,5
The Short Story H,A,A,A,A-,,A,M,12,ELA,1341,2022,H,5
The Short Story H,A,A,A,A,,A,M,12,ELA,1341,2022,H,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Art and Technique of Film ACP,A,A-,A-,A,,A,F,12,ELA,1371,2022,ACP,5
Art and Technique of Film H,B+,B,B-,A,,B+,M,12,ELA,1361,2022,H,5
Art and Technique of Film ACP,A,A,B+,A-,,A-,M,12,ELA,1371,2022,ACP,5
Philosophy as Literature H,A,A,A,C-,,A-,F,12,ELA,1311,2022,H,5
Philosophy as Literature H,A,A,A-,A,,A,M,12,ELA,1311,2022,H,5
Art and Technique of Film ACP,B,A,A-,B+,,A-,M,12,ELA,1371,2022,ACP,5
Philosophy as Literature H,A-,B+,B+,A-,,A-,M,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic ACP,A-,A,A-,B+,,A,M,12,ELA,1441,2022,ACP,5
Diverse Persp Literature ACP,A,B,A-,A-,,A-,F,12,ELA,1331,2022,ACP,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Art and Technique of Film H,A,A,A,A,,A,M,12,ELA,1361,2022,H,5
Philosophy as Literature H,B,A,B+,A-,,B+,F,12,ELA,1311,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,F,12,ELA,1311,2022,H,5
Women in Literature and Society H,A,A,M,A,,A,F,12,ELA,1401,2022,H,5
AP English 12,A,A-,A,A,,A,M,12,ELA,1301,2022,H,5
Art and Technique of Film H,A-,A,A,A,,A,M,12,ELA,1361,2022,H,5
AP English 12,B,B+,A-,A,,A-,M,12,ELA,1301,2022,H,5
Philosophy as Literature H,A-,B+,A-,A-,,A-,M,12,ELA,1311,2022,H,5
Art and Technique of Film H,A,A,A,A,,A,F,12,ELA,1361,2022,H,5
Art and Technique of Film ACP,A,A,A,A,,A,F,12,ELA,1371,2022,ACP,5
Philosophy as Literature H,B+,A-,A-,A,,A-,M,12,ELA,1311,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
Women in Literature and Society ACP,B,B-,B-,A,,B,M,12,ELA,1411,2022,ACP,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
Asian American Literature H,A,A,A,A,,A,M,12,ELA,1381,2022,H,5
The Short Story H,A-,B+,A-,A,,A-,F,12,ELA,1341,2022,H,5
Classroom Aide English,,A,A,A,,A,F,12,ELA,1961,2022,N,2.5
Diverse Perspectives in Lit H,A,A-,A-,A,,A,F,12,ELA,1321,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,F,12,ELA,1311,2022,H,5
AP English 12,B+,A-,B+,A-,,B+,F,12,ELA,1301,2022,H,5
Hiphop: LitCultureMusic ACP,B,B-,D+,B,,B-,M,12,ELA,1441,2022,ACP,5
Women in Literature and Society H,A,A,A,A,,A,M,12,ELA,1401,2022,H,5
Diverse Perspectives in Lit H,A,A,A,A,,A,F,12,ELA,1321,2022,H,5
Horror & SciFi Literature ACP,C+,C,C+,A,,B-,M,12,ELA,1501,2022,ACP,5
Hiphop: LitCultureMusic CP,C,D+,C,D+,,C-,M,12,ELA,1451,2022,CP,5
Diverse Perspectives in Lit H,A,A,A,A,,A,M,12,ELA,1321,2022,H,5
Art and Technique of Film H,A,A,A,A-,,A,M,12,ELA,1361,2022,H,5
Art and Technique of Film ACP,A,A-,B+,C+,,B+,M,12,ELA,1371,2022,ACP,5
AP English 12,A-,A-,B+,A,,A-,M,12,ELA,1301,2022,H,5
Asian American Literature ACP,A,A,B,B,,B+,F,12,ELA,1391,2022,ACP,5
Lit and Comp for College ACP,C-,F,D,A,,D+,F,12,ELA,1421,2022,ACP,5
Diverse Perspectives in Lit H,A,A,A,A,,A,F,12,ELA,1321,2022,H,5
Diverse Perspectives in Lit H,A,A,A,A,,A,F,12,ELA,1321,2022,H,5
Diverse Persp Literature ACP,A,B,B,A,,B+,M,12,ELA,1331,2022,ACP,5
Horror & SciFi Literature ACP,A-,A-,A-,A,,A-,F,12,ELA,1501,2022,ACP,5
The Short Story H,A-,A,A-,A,,A,M,12,ELA,1341,2022,H,5
AP English 12,A,A,A,A-,,A,F,12,ELA,1301,2022,H,5
Diverse Persp Literature ACP,A,A-,A,A-,,A,F,12,ELA,1331,2022,ACP,5
Philosophy of Literature ACP,A,A,A,A,,A,F,12,ELA,13141,2022,ACP,5
Hiphop: LitCultureMusic ACP,C,C-,C,D,,C-,M,12,ELA,1441,2022,ACP,5
The Short Story ACP,A-,A-,B,A-,,A-,M,12,ELA,1351,2022,ACP,5
Philosophy as Literature H,A-,A-,A-,A,,A-,F,12,ELA,1311,2022,H,5
Horror & SciFi Literature ACP,A-,A,B+,A,,A-,M,12,ELA,1501,2022,ACP,5
Diverse Perspectives in Lit H,A,A,A,B+,,A,F,12,ELA,1321,2022,H,5
Hiphop: LitCultureMusic ACP,C+,B,D+,D,,C,F,12,ELA,1441,2022,ACP,5
Horror & SciFi Literature ACP,A-,A-,B+,A,,A-,M,12,ELA,1501,2022,ACP,5
The Short Story ACP,A,A,A,A,,A,M,12,ELA,1351,2022,ACP,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
Philosophy of Literature ACP,F,F,D+,F,,P,M,12,ELA,13141,2022,ACP,5
The Short Story H,A,A,A,B+,,A,F,12,ELA,1341,2022,H,5
AP English 12,A,B+,A,A,,A,F,12,ELA,1301,2022,H,5
Art and Technique of Film H,A,A,A-,A-,,A-,F,12,ELA,1361,2022,H,5
Diverse Persp Literature ACP,A,A,B+,A-,,A-,F,12,ELA,1331,2022,ACP,5
Art and Technique of Film H,A-,A-,B,B,,B+,F,12,ELA,1361,2022,H,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
AP English 12,A-,B,B+,D,,B-,M,12,ELA,1301,2022,H,5
Horror & SciFi Literature ACP,A,A,A,A,,A,F,12,ELA,1501,2022,ACP,5
Philosophy as Literature H,A,A-,B+,A-,,A-,M,12,ELA,1311,2022,H,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
AP English 12,B+,B+,A-,A,,A-,M,12,ELA,1301,2022,H,5
Philosophy of Literature ACP,B+,A-,A-,A-,,A-,M,12,ELA,13141,2022,ACP,5
AP English 12,B+,C,C,B,,B-,M,12,ELA,1301,2022,H,5
Horror & SciFi Literature ACP,A,A,A,A,,A,M,12,ELA,1501,2022,ACP,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
Lit and Comp for College ACP,A,A,A,A,,A,M,12,ELA,1421,2022,ACP,5
Philosophy of Literature ACP,A-,A,A,A,,A,M,12,ELA,13141,2022,ACP,5
The Short Story ACP,B-,B,B,A-,,B,M,12,ELA,1351,2022,ACP,5
Hiphop: LitCultureMusic CP,D,D,D,D-,,D,M,12,ELA,1451,2022,CP,5
AP English 12,A,A,A,B,,A-,M,12,ELA,1301,2022,H,5
Philosophy as Literature H,B+,B,B,B+,,B+,M,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic CP,D,D,D,C,,D+,M,12,ELA,1451,2022,CP,5
Lit and Comp for College ACP,A-,B-,C,B-,,B-,M,12,ELA,1421,2022,ACP,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
Hiphop: LitCultureMusic CP,B+,B,B,F,,C,M,12,ELA,1451,2022,CP,5
Hiphop: LitCultureMusic ACP,A,A-,B+,B,,B+,F,12,ELA,1441,2022,ACP,5
Lit and Comp for College CP,F,F,F,F,,F,M,12,ELA,1431,2022,CP,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
Horror & SciFi Literature ACP,A,A,A,A,,A,F,12,ELA,1501,2022,ACP,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Art and Technique of Film ACP,B+,B+,B+,A,,A-,M,12,ELA,1371,2022,ACP,5
Art and Technique of Film ACP,A-,A-,A,A-,,A,M,12,ELA,1371,2022,ACP,5
Hiphop: LitCultureMusic ACP,B-,A-,C-,D-,,C,M,12,ELA,1441,2022,ACP,5
Horror & SciFi Literature ACP,B-,C,C-,D,,C-,M,12,ELA,1501,2022,ACP,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
The Short Story ACP,B+,B,B-,D,,B-,M,12,ELA,1351,2022,ACP,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Philosophy of Literature ACP,B+,C,B,C-,,B-,M,12,ELA,13141,2022,ACP,5
Hiphop: LitCultureMusic ACP,A,A,B+,B+,,A-,M,12,ELA,1441,2022,ACP,5
Women in Literature and Society ACP,A-,A,B+,A,,A-,F,12,ELA,1411,2022,ACP,5
Diverse Persp Literature ACP,C-,F,F,D+,,C-,F,12,ELA,1331,2022,ACP,5
Philosophy of Literature ACP,B+,B,A-,B,,B+,M,12,ELA,13141,2022,ACP,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
The Short Story H,A,A,A-,A,,A,M,12,ELA,1341,2022,H,5
Diverse Persp Literature ACP,A,B,A-,B,,A-,F,12,ELA,1331,2022,ACP,5
Asian American Literature H,A,A,B,A,,A,F,12,ELA,1381,2022,H,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Art and Technique of Film ACP,A-,A-,A-,A,,A-,M,12,ELA,1371,2022,ACP,5
Art and Technique of Film ACP,B,B,C,C,,C+,M,12,ELA,1371,2022,ACP,5
Art and Technique of Film H,A,A-,B,A,,A-,M,12,ELA,1361,2022,H,5
The Short Story H,A-,A-,B-,C,,B,M,12,ELA,1341,2022,H,5
Hiphop: LitCultureMusic CP,C,B,D+,F,,D+,M,12,ELA,1451,2022,CP,5
Horror & SciFi Literature ACP,A,A,A,A,,A,F,12,ELA,1501,2022,ACP,5
Philosophy as Literature H,A,B+,B-,A-,,B+,F,12,ELA,1311,2022,H,5
Horror & SciFi Literature CP,B,M,C,D-,,C-,M,12,ELA,1511,2022,CP,5
The Short Story ACP,A,B+,A-,A-,,A-,F,12,ELA,1351,2022,ACP,5
Hiphop: LitCultureMusic ACP,B-,B,C+,B,,B-,F,12,ELA,1441,2022,ACP,5
Art and Technique of Film ACP,A,B+,B+,B,,B+,M,12,ELA,1371,2022,ACP,5
Horror & SciFi Literature ACP,A-,A-,B+,A,,A-,F,12,ELA,1501,2022,ACP,5
Art and Technique of Film H,B-,C+,C+,C,,C+,M,12,ELA,1361,2022,H,5
Art and Technique of Film ACP,B-,B-,C+,A-,,B,F,12,ELA,1371,2022,ACP,5
Hiphop: LitCultureMusic ACP,C,C-,C+,C+,,C,M,12,ELA,1441,2022,ACP,5
Art and Technique of Film H,A-,A,A,B+,,A-,M,12,ELA,1361,2022,H,5
Horror & SciFi Literature CP,A,A,A,A,,A,M,12,ELA,1511,2022,CP,5
Hiphop: LitCultureMusic ACP,A-,B+,B-,A-,,B+,M,12,ELA,1441,2022,ACP,5
Art and Technique of Film H,A,A,A,A-,,A,F,12,ELA,1361,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,F,12,ELA,1311,2022,H,5
Art and Technique of Film H,A,A-,A-,C,,B+,F,12,ELA,1361,2022,H,5
Diverse Perspectives in Lit H,A,B,B+,A,,B+,F,12,ELA,1321,2022,H,5
Art and Technique of Film H,A,A,A,A-,,A,M,12,ELA,1361,2022,H,5
Women in Literature and Society ACP,A,A,A,A,,A,F,12,ELA,1411,2022,ACP,5
AP English 12,A,A-,A-,A,,A,F,12,ELA,1301,2022,H,5
Women in Literature and Society ACP,F,B-,C,C-,,D,F,12,ELA,1411,2022,ACP,5
English 11 ACP,B,B-,C+,C-,,C+,M,12,ELA,1221,2022,ACP,5
AP English 12,A,A-,A,A,,A,F,12,ELA,1301,2022,H,5
