,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,ID,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,Season,ID
26,Charlotte,82,48.3,93.4,34.4,81.1,.425,5.7,17.1,.335,18.9,25.1,.750,11.2,29.1,40.3,19.4,7.2,5.8,14.1,19.0,2013,Charlotte2013,Charlotte,.507,.460,151.0,25.7,71.1,47.8,56.2,13.2,7.9,9.7,1.2,53.9,101.5,111.5,-10.0,"7,546.8",91.5,2013,Charlotte2013
23,Charlotte,82,48.5,96.9,36.3,82.1,.442,6.3,17.9,.351,18.0,24.4,.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,2014,Charlotte2014,Charlotte,.522,.481,153.0,21.9,77.6,49.6,59.7,11.7,6.5,8.4,1.2,59.3,103.6,103.8,-0.2,"7,667.1",92.4,2014,Charlotte2014
28,Charlotte,82,48.5,94.2,35.5,84.5,.420,6.1,19.1,.318,17.0,22.8,.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,2015,Charlotte2015,Charlotte,.498,.456,148.6,22.1,79.3,50.0,56.8,11.2,6.5,8.9,1.1,56.4,100.1,103.5,-3.4,"7,709.7",93.0,2015,Charlotte2015
11,Charlotte,82,48.4,103.4,37.0,84.4,.439,10.6,29.4,.362,18.7,23.7,.790,9.0,35.0,43.9,21.7,7.3,5.3,12.6,18.1,2016,Charlotte2016,Charlotte,.545,.502,159.1,20.0,79.8,49.6,58.6,11.7,7.5,9.0,1.2,65.3,107.1,104.3,2.8,"7,914.0",95.7,2016,Charlotte2016
16,Charlotte,82,48.4,104.9,37.7,85.4,.442,10.0,28.6,.351,19.4,23.8,.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,2017,Charlotte2017,Charlotte,.547,.501,160.8,19.9,79.6,49.5,61.1,10.7,7.2,8.6,1.2,67.7,108.8,108.6,0.2,"7,905.0",95.7,2017,Charlotte2017
10,Charlotte,82,48.2,108.2,39.0,86.7,.450,10.0,27.2,.369,20.2,27.0,.747,10.1,35.4,45.5,21.6,6.8,4.5,12.9,17.2,2018,Charlotte2018,Charlotte,.549,.508,156.6,22.2,80.7,51.0,55.4,11.6,6.9,7.9,1.2,67.3,109.2,108.9,0.3,"8,127.8",98.6,2018,Charlotte2018
19,Charlotte,82,48.4,110.7,40.2,89.8,.448,11.9,33.9,.351,18.4,23.1,.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,2019,Charlotte2019,Charlotte,.554,.514,159.6,21.7,77.1,48.9,57.8,10.9,7.3,8.9,1.2,69.3,111.4,112.5,-1.1,"8,155.1",98.7,2019,Charlotte2019
30,Charlotte,65,48.5,102.9,37.3,85.9,.434,12.1,34.3,.352,16.2,21.6,.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,2020,Charlotte2020,Charlotte,.539,.504,153.4,23.9,74.4,48.2,63.9,13.3,6.8,7.9,1.2,62.5,106.3,113.3,-7.0,"6,287.9",95.8,2020,Charlotte2020
23,Charlotte,72,48.2,109.5,39.9,87.8,.455,13.7,37.0,.369,15.9,20.9,.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,2021,Charlotte2021,Charlotte,.564,.532,158.6,23.5,75.7,49.2,67.2,13.3,8.0,9.8,1.2,72.0,110.9,112.8,-2.0,"7,107.9",98.3,2021,Charlotte2021
4,Charlotte,82,48.5,115.3,42.8,91.4,.468,13.9,38.2,.365,15.8,21.4,.740,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,2022,Charlotte2022,Charlotte,.572,.544,157.4,23.3,74.8,48.7,65.6,11.6,8.5,9.5,1.3,77.0,114.2,113.7,0.4,"8,284.2",100.0,2022,Charlotte2022
27,Charlotte,82,48.4,111.0,41.3,90.4,.457,10.7,32.5,.330,17.6,23.6,.749,11.0,33.5,44.5,25.1,7.7,5.2,14.2,20.3,2023,Charlotte2023,Charlotte,.550,.516,153.5,23.8,75.5,49.1,60.9,12.3,7.6,9.3,1.2,69.6,109.2,115.3,-6.1,"8,331.6",100.8,2023,Charlotte2023
29,Chicago,82.0,48.3,84.8,31.3,75.4,0.415,4.1,12.6,0.329,18.1,25.5,0.709,12.6,28.3,40.9,20.1,7.9,4.7,19.0,23.3,2000,Chicago2000,Chicago,0.49,0.443,145.4,29.9,69.9,49.5,64.1,18.0,8.8,7.2,1.1,45.1,94.2,104.6,-10.4,"7,381.2",89.4,2000,Chicago2000
29,Chicago,82,48.4,87.6,33.2,78.2,.424,4.0,11.6,.346,17.2,23.3,.739,11.3,27.6,38.9,22.1,8.2,4.6,15.8,23.2,2001,Chicago2001,Chicago,.495,.450,150.9,26.6,70.3,47.6,66.5,15.2,9.2,7.1,1.1,49.3,97.2,107.2,-10.1,"7,391.4",89.3,2001,Chicago2001
28,Chicago,82,48.3,89.5,34.3,79.2,.433,3.7,10.6,.346,17.2,23.9,.722,11.3,28.8,40.0,22.2,7.7,4.4,15.5,22.4,2002,Chicago2002,Chicago,.499,.456,150.0,26.6,71.4,48.4,64.6,14.7,8.5,6.8,1.1,51.0,98.1,107.4,-9.4,"7,478.7",90.6,2002,Chicago2002
16,Chicago,82,48.6,95.0,36.5,81.9,.445,4.3,12.2,.350,17.7,24.6,.722,12.0,31.0,43.0,21.7,7.4,5.6,16.9,24.7,2003,Chicago2003,Chicago,.512,.471,151.8,27.7,69.5,48.9,59.6,15.4,7.8,8.4,1.2,53.5,100.2,105.6,-5.4,"7,769.5",93.6,2003,Chicago2003
26,Chicago,82,48.4,89.7,34.1,82.4,.414,5.2,15.3,.342,16.2,22.4,.725,12.8,30.7,43.5,21.9,8.0,4.8,16.0,23.3,2004,Chicago2004,Chicago,.486,.446,148.1,28.1,71.4,49.1,64.1,14.8,8.7,7.4,1.1,51.6,96.8,103.6,-6.9,"7,599.5",92.0,2004,Chicago2004
21,Chicago,82,48.4,94.5,34.7,80.4,.432,6.2,17.5,.357,18.7,25.0,.750,12.2,31.6,43.8,21.3,7.0,4.5,16.7,24.7,2005,Chicago2005,Chicago,.517,.471,153.9,28.4,72.6,50.6,61.2,15.5,7.6,7.0,1.2,53.2,101.4,100.3,1.1,"7,636.6",92.4,2005,Chicago2005
14,Chicago,82,48.5,97.8,36.6,82.2,.446,6.8,18.0,.379,17.7,24.0,.738,11.0,31.7,42.8,22.0,6.2,4.2,14.7,24.9,2006,Chicago2006,Chicago,.527,.487,156.3,26.3,74.7,50.6,60.1,13.7,6.6,6.8,1.2,55.4,104.4,103.7,0.7,"7,680.5",92.6,2006,Chicago2006
13,Chicago,82,48.2,98.8,37.1,81.3,.457,5.9,15.1,.388,18.6,25.4,.734,12.0,31.7,43.7,22.3,7.8,5.4,16.0,23.3,2007,Chicago2007,Chicago,.534,.493,157.9,28.6,74.3,51.6,60.1,14.7,8.3,8.8,1.2,59.7,104.9,99.6,5.3,"7,718.3",93.6,2007,Chicago2007
18,Chicago,82,48.3,97.3,36.4,83.7,.435,5.8,15.9,.363,18.7,24.7,.756,12.8,30.2,43.0,22.1,7.7,5.2,14.6,21.8,2008,Chicago2008,Chicago,.515,.470,155.4,28.9,73.1,50.2,60.6,13.4,8.3,8.5,1.2,58.2,103.9,107.2,-3.3,"7,678.9",93.1,2008,Chicago2008
8,Chicago,82,48.6,102.2,38.1,83.5,.457,6.0,15.8,.381,19.9,25.0,.796,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,2009,Chicago2009,Chicago,.541,.493,163.4,28.0,70.9,49.6,55.4,13.3,8.0,8.3,1.2,60.8,108.4,108.7,-0.3,"7,728.4",93.1,2009,Chicago2009
24,Chicago,82,48.5,97.5,37.6,83.2,.451,4.3,13.0,.330,18.0,23.9,.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,2010,Chicago2010,Chicago,.520,.477,153.5,26.6,74.8,51.0,55.3,13.3,6.9,9.2,1.2,58.5,103.5,105.3,-1.7,"7,720.7",93.1,2010,Chicago2010
20,Chicago,82,48.4,98.6,37.1,80.3,.462,6.2,17.3,.361,18.2,24.5,.743,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0,2011,Chicago2011,Chicago,.541,.501,156.6,29.4,76.2,53.5,60.1,13.5,7.9,9.0,1.2,63.1,108.3,100.3,8.0,"7,465.6",90.4,2011,Chicago2011
18,Chicago,66,48.3,96.3,37.4,82.8,.452,6.3,16.9,.375,15.2,21.1,.722,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,2012,Chicago2012,Chicago,.523,.490,154.8,32.6,74.3,53.9,61.9,13.2,7.7,8.7,1.2,64.7,107.4,98.3,9.1,"5,920.6",89.1,2012,Chicago2012
29,Chicago,82,48.4,93.2,35.7,81.7,.437,5.4,15.4,.353,16.4,21.2,.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,2013,Chicago2013,Chicago,.512,.470,156.2,29.4,73.6,51.2,64.5,13.6,8.0,7.9,1.1,58.4,103.5,103.2,0.4,"7,382.4",89.3,2013,Chicago2013
30,Chicago,82,48.6,93.7,34.7,80.2,.432,6.2,17.8,.348,18.1,23.3,.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,2014,Chicago2014,Chicago,.518,.471,155.9,27.2,75.4,51.7,65.4,14.2,7.9,8.3,1.2,58.7,102.5,100.5,2.0,"7,491.9",90.2,2014,Chicago2014
15,Chicago,82,48.5,100.8,36.6,82.9,.442,7.9,22.3,.353,19.7,25.2,.783,11.7,34.0,45.7,21.7,6.3,5.8,14.0,18.2,2015,Chicago2015,Chicago,.536,.489,157.8,27.0,74.4,51.3,59.3,12.9,6.7,8.6,1.2,63.6,107.5,104.3,3.2,"7,685.2",92.8,2015,Chicago2015
21,Chicago,82,48.5,101.6,38.6,87.4,.441,7.9,21.4,.371,16.5,21.0,.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,2016,Chicago2016,Chicago,.526,.487,160.0,24.5,74.9,50.2,59.1,12.6,6.2,8.6,1.2,63.4,105.0,106.5,-1.5,"7,940.3",95.7,2016,Chicago2016
23,Chicago,82,48.2,102.9,38.6,87.1,.444,7.6,22.3,.340,18.0,22.5,.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,2017,Chicago2017,Chicago,.530,.487,158.2,27.0,76.8,51.7,58.4,12.3,8.2,7.9,1.2,66.0,107.4,107.0,0.4,"7,852.2",95.3,2017,Chicago2017
26,Chicago,82,48.4,102.9,38.7,88.8,.435,11.0,31.1,.355,14.6,19.2,.759,9.6,35.0,44.7,23.5,7.6,3.5,14.4,19.2,2018,Chicago2018,Chicago,.529,.497,154.9,20.6,80.6,49.5,60.7,12.9,7.7,6.5,1.2,62.5,103.4,110.4,-7.1,"8,164.7",98.7,2018,Chicago2018
27,Chicago,82,48.5,104.9,39.8,87.9,.453,9.1,25.9,.351,16.2,20.7,.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,2019,Chicago2019,Chicago,.541,.505,158.8,19.4,77.3,48.0,55.0,12.7,7.4,7.6,1.2,61.7,104.8,113.2,-8.4,"8,208.6",99.0,2019,Chicago2019
27,Chicago,65,48.2,106.8,39.6,88.6,.447,12.2,35.1,.348,15.5,20.5,.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,2020,Chicago2020,Chicago,.547,.515,154.9,22.8,75.6,47.9,58.7,13.7,10.0,8.0,1.2,64.4,106.7,109.8,-3.1,"6,508.6",99.7,2020,Chicago2020
21,Chicago,72,48.3,110.7,42.2,88.6,.476,12.6,34.0,.370,13.8,17.5,.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,2021,Chicago2021,Chicago,.575,.547,163.6,22.3,80.3,51.6,63.5,13.6,6.7,7.6,1.2,72.0,111.1,112.0,-0.9,"7,170.5",99.0,2021,Chicago2021
13,Chicago,82,48.1,111.6,41.7,86.9,.480,10.6,28.8,.369,17.5,21.5,.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,2022,Chicago2022,Chicago,.579,.541,166.2,20.4,78.3,49.5,57.2,11.8,7.2,7.4,1.3,70.8,113.3,113.7,-0.4,"8,080.8",98.3,2022,Chicago2022
22,Chicago,82,48.5,113.1,42.5,86.8,.490,10.4,28.9,.361,17.6,21.8,.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,2023,Chicago2023,Chicago,.587,.550,166.0,20.1,77.8,49.4,57.5,12.2,7.9,9.0,1.3,72.3,113.5,112.2,1.3,"8,172.3",98.5,2023,Chicago2023
18,Cleveland,82.0,48.4,97.0,36.3,82.1,0.442,4.2,11.2,0.373,20.2,26.9,0.75,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,2000,Cleveland2000,Cleveland,0.516,0.468,156.5,28.1,71.1,49.4,65.2,15.6,9.0,6.6,1.2,54.8,100.4,104.1,-3.6,"7,915.3",95.7,2000,Cleveland2000
22,Cleveland,82,48.4,92.2,35.2,79.7,.442,2.7,8.0,.334,19.0,24.9,.765,12.4,29.8,42.1,20.8,7.8,5.3,16.5,23.2,2001,Cleveland2001,Cleveland,.509,.459,154.1,29.7,71.1,50.5,59.1,15.4,8.5,8.0,1.2,52.7,100.3,104.9,-4.6,"7,542.0",91.3,2001,Cleveland2001
16,Cleveland,82,48.4,95.3,36.0,80.3,.448,4.7,12.5,.377,18.6,24.1,.772,11.8,30.3,42.1,23.1,7.0,5.7,14.6,21.3,2002,Cleveland2002,Cleveland,.524,.477,159.7,28.9,72.8,51.0,64.1,13.8,7.6,8.6,1.2,58.7,104.6,108.2,-3.7,"7,469.9",90.3,2002,Cleveland2002
25,Cleveland,82,48.4,91.4,34.8,82.3,.422,3.6,10.9,.327,18.3,24.5,.747,13.6,31.0,44.6,20.9,7.8,6.4,18.5,22.7,2003,Cleveland2003,Cleveland,.491,.444,149.6,31.0,73.2,51.7,60.1,16.5,8.2,9.3,1.1,51.7,96.4,106.5,-10.1,"7,778.4",94.1,2003,Cleveland2003
14,Cleveland,82,48.4,92.9,35.6,82.4,.433,3.0,9.6,.314,18.6,24.8,.753,13.6,31.9,45.6,22.0,7.1,6.5,14.8,21.3,2004,Cleveland2004,Cleveland,.498,.451,150.0,31.1,73.0,52.0,61.9,13.7,7.8,9.6,1.1,57.7,101.5,104.4,-2.9,"7,506.4",90.7,2004,Cleveland2004
17,Cleveland,82,48.4,96.5,36.5,81.5,.447,3.7,11.0,.332,19.9,26.5,.752,13.6,28.7,42.3,22.6,8.0,5.6,13.9,22.6,2005,Cleveland2005,Cleveland,.518,.470,153.1,32.5,71.5,51.5,61.9,13.0,8.8,8.7,1.2,59.1,106.6,105.7,0.9,"7,422.7",89.7,2005,Cleveland2005
15,Cleveland,82,48.4,97.6,35.5,78.2,.454,6.1,17.9,.339,20.6,28.3,.729,11.7,30.6,42.3,19.0,6.9,4.8,13.8,21.1,2006,Cleveland2006,Cleveland,.538,.492,152.1,28.4,75.7,51.8,53.6,13.2,7.7,7.5,1.2,57.4,108.1,105.6,2.5,"7,402.7",89.6,2006,Cleveland2006
19,Cleveland,82,48.5,96.8,36.3,81.2,.447,6.0,17.1,.352,18.1,26.0,.696,12.7,30.8,43.5,20.8,7.6,4.3,14.4,21.7,2007,Cleveland2007,Cleveland,.522,.484,149.5,29.7,75.8,52.2,57.4,13.4,8.3,6.9,1.2,57.3,105.5,101.3,4.2,"7,521.0",90.8,2007,Cleveland2007
24,Cleveland,82,48.4,96.4,35.8,81.7,.439,6.7,18.8,.358,18.0,25.1,.717,13.3,31.3,44.6,20.0,7.1,5.2,14.0,20.9,2008,Cleveland2008,Cleveland,.520,.480,151.3,30.4,75.9,52.4,55.8,13.1,7.7,8.5,1.2,58.1,106.0,106.3,-0.4,"7,458.8",90.2,2008,Cleveland2008
13,Cleveland,82,48.2,100.3,36.9,78.7,.468,8.0,20.4,.393,18.6,24.5,.757,10.8,31.4,42.2,20.3,7.2,5.3,12.8,20.3,2009,Cleveland2009,Cleveland,.560,.519,161.8,27.7,74.6,52.0,55.0,12.5,8.1,8.7,1.3,63.3,112.4,102.4,10.0,"7,313.6",88.7,2009,Cleveland2009
9,Cleveland,82,48.2,102.1,37.8,77.9,.485,7.3,19.3,.381,19.1,26.6,.720,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,2010,Cleveland2010,Cleveland,.570,.532,158.5,25.1,77.2,52.4,59.2,13.4,7.5,8.3,1.3,65.4,111.2,104.1,7.1,"7,528.8",91.3,2010,Cleveland2010
25,Cleveland,82,48.2,95.5,35.2,81.1,.434,6.2,18.2,.342,18.9,25.3,.745,10.4,29.9,40.3,21.0,6.6,4.2,14.2,20.1,2011,Cleveland2011,Cleveland,.518,.472,152.1,24.2,73.3,48.1,59.6,13.4,7.1,6.6,1.2,54.4,102.2,111.8,-9.6,"7,659.1",93.0,2011,Cleveland2011
25,Cleveland,66,48.4,93.0,34.3,81.2,.422,6.7,19.3,.346,17.8,24.9,.716,12.7,29.5,42.3,19.8,7.1,4.0,15.4,20.0,2012,Cleveland2012,Cleveland,.505,.463,148.4,28.9,72.2,49.7,57.9,14.3,7.7,6.2,1.1,52.2,101.1,108.9,-7.8,"6,074.1",91.3,2012,Cleveland2012
19,Cleveland,82,48.1,96.5,36.5,84.2,.434,6.7,19.3,.346,16.8,22.3,.756,12.2,28.8,41.0,20.7,7.9,4.1,14.0,21.2,2013,Cleveland2013,Cleveland,.514,.473,153.5,28.1,72.6,49.3,56.6,13.0,8.5,6.8,1.1,55.6,104.3,109.4,-5.1,"7,586.1",92.3,2013,Cleveland2013
22,Cleveland,82,48.6,98.2,37.0,84.8,.437,7.1,20.0,.356,17.0,22.7,.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20.0,2014,Cleveland2014,Cleveland,.518,.479,154.4,27.2,75.8,50.9,57.2,13.0,7.5,6.4,1.2,57.6,104.2,107.7,-3.5,"7,730.9",93.1,2014,Cleveland2014
8,Cleveland,82,48.2,103.1,37.7,82.2,.458,10.1,27.5,.367,17.7,23.6,.751,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,2015,Cleveland2015,Cleveland,.557,.520,157.6,26.8,74.7,51.1,58.7,13.4,8.0,6.8,1.3,64.5,111.1,106.3,4.8,"7,609.7",92.3,2015,Cleveland2015
8,Cleveland,82,48.4,104.3,38.7,84.0,.460,10.7,29.6,.363,16.3,21.7,.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,2016,Cleveland2016,Cleveland,.558,.524,157.1,25.1,78.5,52.0,58.7,12.7,7.1,6.5,1.2,65.1,110.9,104.5,6.4,"7,716.0",93.3,2016,Cleveland2016
4,Cleveland,82,48.5,110.3,39.9,84.9,.470,13.0,33.9,.384,17.5,23.3,.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,2017,Cleveland2017,Cleveland,.580,.547,160.2,21.9,75.8,49.7,56.7,12.6,6.8,6.6,1.3,68.9,113.6,110.3,3.3,"7,965.2",96.2,2017,Cleveland2017
5,Cleveland,82,48.1,110.9,40.4,84.8,.476,12.0,32.1,.372,18.1,23.3,.779,8.5,33.7,42.1,23.4,7.1,3.8,13.9,18.6,2018,Cleveland2018,Cleveland,.584,.547,162.8,20.1,77.3,49.1,57.9,12.8,7.2,6.7,1.3,69.3,112.7,111.7,1.0,"8,067.8",98.1,2018,Cleveland2018
29,Cleveland,82,48.2,104.5,38.9,87.6,.444,10.3,29.1,.355,16.4,20.7,.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,2019,Cleveland2019,Cleveland,.540,.503,159.1,23.7,77.0,49.2,53.2,12.2,6.7,4.3,1.2,59.6,107.7,117.6,-9.9,"7,955.0",96.6,2019,Cleveland2019
26,Cleveland,65,48.4,106.9,40.3,87.9,.458,11.2,31.8,.351,15.1,19.9,.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,2020,Cleveland2020,Cleveland,.553,.522,156.8,24.6,77.4,50.8,57.3,14.6,6.9,5.8,1.2,63.6,107.5,115.4,-7.9,"6,464.3",98.7,2020,Cleveland2020
30,Cleveland,72,48.4,103.8,38.6,85.8,.450,10.0,29.7,.336,16.7,22.4,.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,2021,Cleveland2021,Cleveland,.543,.508,153.0,23.6,76.6,49.4,61.8,13.9,7.9,8.3,1.2,63.9,105.8,114.4,-8.6,"7,068.0",97.3,2021,Cleveland2021
25,Cleveland,82,48.1,107.8,39.7,84.6,.469,11.6,32.8,.355,16.8,22.1,.760,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,2022,Cleveland2022,Cleveland,.571,.538,158.4,24.0,76.5,50.8,63.4,13.2,7.3,7.7,1.3,70.7,111.9,109.7,2.2,"7,898.8",96.1,2022,Cleveland2022
25,Cleveland,82,48.5,112.3,41.6,85.2,.488,11.6,31.6,.367,17.5,22.5,.780,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19.0,2023,Cleveland2023,Cleveland,.590,.556,163.5,23.6,76.3,49.9,60.0,12.3,7.4,8.8,1.3,71.9,116.1,110.6,5.6,"7,927.3",95.7,2023,Cleveland2023
3,Dallas,82.0,48.1,101.4,39.0,85.9,0.453,6.3,16.2,0.391,17.2,21.4,0.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,2000,Dallas2000,Dallas,0.532,0.49,164.8,25.5,66.1,45.9,56.7,12.6,7.6,7.2,1.2,60.3,106.6,107.2,-0.6,"7,800.7",94.9,2000,Dallas2000
4,Dallas,82,48.3,100.5,37.6,81.9,.459,6.3,16.5,.381,18.9,23.8,.794,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3,2001,Dallas2001,Dallas,.544,.498,163.5,24.1,70.7,48.0,56.4,13.1,8.0,8.9,1.2,60.4,107.1,102.6,4.6,"7,691.1",93.2,2001,Dallas2001
1,Dallas,82,48.5,105.2,39.0,84.5,.462,7.6,20.1,.378,19.6,24.3,.806,11.2,31.3,42.5,22.1,7.1,4.7,12.2,22.5,2002,Dallas2002,Dallas,.553,.507,164.6,26.1,70.7,48.7,56.6,11.4,7.5,6.9,1.2,64.2,112.0,107.5,4.5,"7,703.7",93.0,2002,Dallas2002
1,Dallas,82,48.2,103.0,38.5,85.1,.453,7.8,20.3,.381,18.1,21.9,.829,11.1,31.0,42.1,22.4,8.1,5.5,11.6,21.1,2003,Dallas2003,Dallas,.543,.498,166.3,25.4,70.9,48.1,58.1,10.9,8.7,8.5,1.2,65.6,110.7,102.3,8.4,"7,627.4",92.5,2003,Dallas2003
1,Dallas,82,48.3,105.2,40.5,88.2,.459,6.2,17.8,.348,18.0,22.6,.796,14.3,31.0,45.3,23.9,8.0,5.3,12.1,19.6,2004,Dallas2004,Dallas,.536,.495,160.3,31.4,71.6,51.0,59.1,10.9,8.5,8.2,1.2,69.2,112.4,107.6,4.7,"7,675.6",93.0,2004,Dallas2004
3,Dallas,82,48.1,102.5,37.3,81.6,.457,5.6,15.5,.364,22.3,28.2,.789,12.1,30.9,42.9,19.6,8.6,5.6,13.5,22.3,2005,Dallas2005,Dallas,.545,.492,161.0,28.6,70.2,49.9,52.6,12.5,9.3,8.6,1.3,62.5,110.3,104.1,6.2,"7,619.9",92.7,2005,Dallas2005
9,Dallas,82,48.5,99.1,36.0,77.7,.462,5.1,13.6,.374,22.2,28.3,.783,12.6,29.6,42.2,18.0,7.2,6.0,13.1,22.4,2006,Dallas2006,Dallas,.550,.495,161.9,31.8,72.2,52.4,50.0,12.7,8.2,9.4,1.3,59.3,112.4,105.5,6.9,"7,234.7",87.3,2006,Dallas2006
9,Dallas,82,48.2,100.0,36.7,78.6,.467,6.5,17.1,.381,20.1,24.9,.805,11.2,30.7,41.9,19.9,6.8,5.0,13.9,22.4,2007,Dallas2007,Dallas,.559,.509,165.3,28.7,75.0,52.4,54.2,13.4,7.6,7.9,1.3,60.3,111.3,103.3,8.0,"7,369.1",89.5,2007,Dallas2007
12,Dallas,82,48.1,100.4,36.9,79.5,.464,6.0,17.1,.352,20.6,25.3,.814,10.8,32.2,43.0,21.0,6.0,4.9,12.7,21.8,2008,Dallas2008,Dallas,.554,.502,163.1,26.7,75.0,51.6,56.9,12.3,6.6,7.5,1.3,62.0,111.1,106.1,5.0,"7,412.0",90.2,2008,Dallas2008
9,Dallas,82,48.3,101.7,38.1,82.6,.462,7.0,19.9,.350,18.5,22.6,.819,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,2009,Dallas2009,Dallas,.550,.504,163.0,26.6,74.6,50.8,56.9,12.1,7.8,8.0,1.2,64.5,110.5,108.4,2.1,"7,547.7",91.5,2009,Dallas2009
11,Dallas,82,48.5,102.0,38.3,82.4,.464,6.8,18.3,.372,18.6,22.8,.816,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1,2010,Dallas2010,Dallas,.552,.506,165.3,24.3,73.7,49.3,61.1,12.3,8.1,8.5,1.2,65.5,109.2,106.2,2.9,"7,662.3",92.5,2010,Dallas2010
11,Dallas,82,48.1,100.2,37.4,78.8,.475,7.9,21.6,.365,17.5,22.6,.777,9.5,31.9,41.4,23.8,6.8,4.3,14.0,19.2,2011,Dallas2011,Dallas,.565,.525,161.6,24.1,74.8,50.4,63.7,13.6,7.4,6.8,1.3,64.5,109.7,105.0,4.6,"7,495.1",91.3,2011,Dallas2011
19,Dallas,66,48.7,95.8,36.3,82.0,.443,7.5,22.2,.339,15.6,20.2,.771,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,2012,Dallas2012,Dallas,.527,.489,155.4,23.4,74.8,49.3,57.5,13.4,9.2,8.4,1.2,59.6,103.3,102.3,1.0,"6,119.6",91.4,2012,Dallas2012
8,Dallas,82,48.7,101.1,38.8,84.0,.462,7.4,19.9,.372,16.1,20.4,.793,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,2013,Dallas2013,Dallas,.544,.506,162.7,21.8,73.1,47.9,59.9,13.0,8.3,8.9,1.2,62.9,105.9,106.5,-0.6,"7,829.8",94.1,2013,Dallas2013
8,Dallas,82,48.4,104.8,39.6,83.6,.474,8.8,22.9,.384,16.8,21.1,.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,2014,Dallas2014,Dallas,.564,.526,165.3,24.6,72.7,48.8,59.6,12.7,9.1,7.4,1.3,66.5,111.2,108.7,2.5,"7,729.1",93.5,2014,Dallas2014
3,Dallas,82,48.5,105.2,39.7,85.8,.463,8.9,25.4,.352,16.9,22.5,.752,10.5,31.8,42.3,22.5,8.1,4.5,13.0,20.0,2015,Dallas2015,Dallas,.550,.515,156.6,23.6,72.2,47.8,56.7,11.9,8.4,7.6,1.2,65.1,109.5,106.4,3.0,"7,882.7",95.2,2015,Dallas2015
16,Dallas,82,48.8,102.3,37.4,84.1,.444,9.8,28.5,.344,17.7,22.3,.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,2016,Dallas2016,Dallas,.544,.502,158.2,20.6,76.2,48.5,59.2,12.0,7.1,6.4,1.2,62.0,106.7,107.0,-0.3,"7,860.1",94.3,2016,Dallas2016
30,Dallas,82,48.2,97.9,36.2,82.3,.440,10.7,30.1,.355,14.8,18.5,.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,2017,Dallas2017,Dallas,.541,.505,159.6,18.1,77.5,46.4,57.4,11.6,8.1,7.0,1.2,58.7,105.6,108.8,-3.2,"7,600.1",92.2,2017,Dallas2017
